Language	English	Français	italiano	Deutsche	español	日本	Português	عربى	한국어	Русский	中文(简)	中文(繁)	Polski	Dutch	Предреформенный русскій
how to move description	Hold the right mouse button to walk towards your cursor.	Maintenez le bouton droit de la souris pour vous déplacer vers le curseur	Tieni premuto il pulsante destro del mouse per camminare verso il cursore	Halte die rechte Maustaste gedrückt um dich zum Cursor zu bewegen	Mantenga presionado el botón derecho del mouse para caminar hacia su cursor.	マウス右ボタンを長押して、カーソルに向いて移動する	Segure o botão direito do mouse para caminhar em direção ao seu cursor.	امسك زر الماوس الأيمن للسير نحو المؤشر.	마우스 오른쪽을 누르고 있으면 커서를 향해 이동합니다.	Держи правую кнопку мыши, чтобы идти к курсору.	按住鼠标右键以移动至光标处	按住鼠標右鍵以移動至光標處	Przytrzymaj prawy przycisk myszy, aby iść w kierunku kursora.	Hou de rechtermuisknop ingedrukt om naar de cursor te lopen.	Держи правую кнопку мыши, дабы идти къ указателю.
forge spells title	How to Forge Spells!	Comment Façonner des Sorts	Come Creare Incantesimi!	Wie man Zauber schmiedet!	¡Cómo forjar hechizos!	呪文合成タイトル	Como forjar feitiços!	كيفية صياغة نوبات!	주문을 합치는 방법	Как Совмещать Заклинания!	合成咒语标题	合成咒語標題	Jak tworzyć zaklęcia!	Hoe een Spreuk te Maken!	Какъ Слагати Заклятія!
how to stack description	Many spells become more powerful if you stack multiple in a row.  Try combining different spells to find out how they might interact.	Beaucoup de sorts deviennent plus puissants si vous les accumulez. Essayez de combiner différents sorts pour découvrir comment ils pourraient interagir.	Molti incantesimi diventano più potenti se combini più incantesimi in fila. Prova a combinare incantesimi diversi per scoprire come interagiscono.	Viele Zauber werden mächtiger wenn man sie stapelt. Versuche verschiedene Zauber zu stapeln und finde heraus wie sie interagieren	Muchos hechizos se vuelven más poderosos si apilan múltiples seguidos. Intente combinar diferentes hechizos para descubrir cómo podrían interactuar.	呪文の連続使用は重ねとなります、多くの呪文は重ねにより更に強力になります	Muitos feitiços se tornam mais poderosos se você juntar muitos em uma fileira só, tente combinar feitiços diferentes para descobrir como eles podem interagir entre eles e os alvos.	تصبح العديد من التعويذات أكثر قوة إذا قمت بتكديس متعددة على التوالي. حاول الجمع بين تعويذات مختلفة لمعرفة كيفية تفاعلها.	많은 주문은 여러 개를 연속으로 쌓으면 더 강력해집니다. 어떻게 상호작용할 수 있는지 알아보기 위해 다른 주문들을 조합해 보세요.	Сложите заклинание несколько раз, чтобы сделать его мощнее. Комбинации заклинаний создают интересные ситуации!	许多咒语在连续重复使用时会变得更强力.可以多尝试不同的咒语组合	許多咒語在連續重複使用時會變得更強力.可以多嘗試不同的咒語組合	Wiele zaklęć staje się potężniejsze, jeśli układasz ich wiele z rzędu. Spróbuj połączyć różne zaklęcia, aby dowiedzieć się, jak mogą na siebie oddziaływać.	Veel spreuken worden machtiger als je ze meerdere keren op elkaar stapelt. Probeer verschillende spreuken te combineren om te zien hoe ze intereacteren. 	Сложи заклятіе нѣсколько разъ, дабы сдѣлать его мощнѣе. Сложенія заклятій творятъ занимательныя положенія!
host	Host Game	Héberger une partie	Ospita La Partita	Spiel hosten	Juego de acogida	ゲームをホスト	Servidor Host	لعبة مضيفة	호스트 게임	Создать Лобби	创建房间	創建房間	Załóź grę	Host Game	Создать Залу
join	Join Game	Rejoindre une partie	Unisciti Alla Partita	Spiel beitreten	Unete al juego	ゲームに参加する	Entrar no jogo	انضم للعبة	게임 참가하기	Войти в Лобби	加入房间	加入房間	Dołącz do gry	Join Game	Войти въ Залу
Ready	Ready	Prêt	Pronto	Bereit	Listo	準備	Preparar	مستعد	준비	Готов	准备	準備	Gotowy	Klaar	Готовъ
Leave Room	Leave Room	Quitter la salle	Lascia La Stanza	Raum verlassen	Dejar la habitación	退室	Deixar a sala	غادر الغرفة	방 나가기	Покинуть Лобби	离开房间	離開房間	Opuść grę wieloosobową	Verlaat Kamer	Покинути Залу
per turn	per turn	par tour	per turno	pro Zug	por turno	毎ターン	por turno	لكل منعطف	턴 당	за ход	每回合	每回合	na rundę	per beurt	за чередъ
mana burn	mana burn	Combustion de mana	brucia mana	Manabrand	Mana Burn	マナバーン	Mana Burn	مانا حرق	마나 태우기	сжигание маны	法力烧伤	法力燒傷	Wypalenie Many	mana opbranden	сожиганіе эѳира
mana steal	mana steal	Vol de mana	ruba mana	Manaraub	maná robo	マナスティール	Mana roube	مانا سرقة	마나 빼앗기	кража маны	法力吸取	法力吸取	Kradzież Many	mana stelen	похищеніе эѳира
mana potion	Mana Potion	Potion de Mana	Pozione di Mana	Manatrank	Poción de maná	マナポーション	Mana Poção	مانا جرعة	마나 물약	Зелье Маны	法力药水	法力藥水	Mikstura Many	Mana Potion	Зелье эѳира
health potion	Health Potion	Potion de Santé	Pozione di Salute	Heiltrank	Poción de salud	体力ポーション	Poção de saúde	جرعة الصحة	체력 물약	Зелье Здоровья	生命药水	生命藥水	Mikstura zdrowia	Levens Potion	Зелье Здравія
stamina potion	Stamina Potion	Potion d'Endurance	Pozione di Stamina	Ausdauertrank	Poción de resistencia	スタミナポーション	Poção de estamina	جرعة القدرة على التحمل	스태미나 물약	Зелье Выносливости	耐力药水	耐力藥水	Mikstura wytrzymałości	Stamina Potion	Зелье Выносливости
spells	Spells	Sorts	Incantesimi	Zauber	Hechizo	呪文	Feitiços	نوبات	주문	Заклинания	咒语	咒語	Zaklęcia	Spreuken	Заклятія
portal	Portal	Portail	Portale	Portal	Portal	ポータル	Portal	منفذ	포탈	Портал	传送门	傳送門	Portal	Portaal	Врата
trap	Trap	Piège	Trappola	Falle	Trampa	トラップ	Armadilha	فخ	함정	Ловушка	陷阱	陷阱	Pułapka	Val	Западня
Golem	Golem	Golem	Golem	Golem	Golem	ゴーレム	Golem	جوليم	골렘	Голем	傀儡	傀儡	Golem	Golem	Големъ
Archer	Archer	Archer	Arciere	Bogenschütze	Arquero	アーチャー	Arqueiro	آرتشر	궁수	Лучник	弓箭手	弓箭手	Łucznik	Boogschutter	Лучникъ
Glop	Glop	Glop	Glop 	Pampe	Glop	ブロブ	Glop	سائل لزج	글롭	Слизь	粘稠怪	粘稠怪	Glop	Glop	Слизь
Summoner	Summoner	Invocateur	Evocatore	Beschwörer	Invocador	サモナー	Invocador	استدعاء	소환사	Призыватель	召唤师	召喚師	Przywoływacz	Summoner	Заклинатель
Priest	Priest	Prêtre	Prete	Priester	Sacerdote	プリースト	Padre	كاهن	사제	Священник	牧师	牧師	Kapłan	Priest	Жрецъ
Poisoner	Poisoner	Empoisonneur	Avvelenatore	Vergifter	Envenenador	毒使い	Envenenador	المسمم	독살자	Отродье	投毒怪	投毒怪	Truciciel	Vergiftiger	Отродіе
Vampire	Vampire	Vampire	Vampiro	Vampir	Vampiro	吸血鬼	Vampiro	مصاص دماء	흡혈귀	Вампир	吸血鬼	吸血鬼	Wampir	Vampier	Упырь
Dragger	Dragger	Traineur	Trascinatore	Schlurfer	Arrastrista	ドラッカー	Dragger	دررا	드래거	Драггер	拖拽怪	拖拽怪	Chwythulhu	Sleper	Драггеръ
Ally	Ally	Allié	Alleato	Verbündeter	Aliado	味方	Aliado	حليف	동맹	Союзник	友方	友方	Przyjaciel	Bondgenoot	Соратникъ
Enemy	Enemy	Ennemi	Nemico	Feind	Enemigo	敵	Inimigo	العدو	적	Враг	敌方	敵方	Wróg	Vijand	Врагъ
game name	Game Name	Nom de la Partie	Nome Del Gioco	Spielname	Nombre del juego	ゲーム名	Nome do jogo	اسم اللعبة	게임 이름	Название Лобби	游戏名称	遊戲名稱	Nazwa gry	Spel Naam	Названіе Залы
game lobby	Game Lobby	Nom du Salon	Sala D'Attesa Del Gioco	Spiellobby	Lobby del juego	ゲームロビー	Lobby do jogo	ردهة اللعبة	게임 로비	Игровое Лобби	游戏大厅	遊戲大廳	Pokój gry	Spel Lobby	Игровая Зала
waiting...	Waiting...	En attente...	In Attesa ...	Warten...	Espera...	待機中...	Esperando...	منتظر...	기다리는 중...	Ожидание...	等待...	等待...	Czekanie...	Wachten...	Ожиданіе...
picking start point	Picking Start Point	Choix du point d'apparition	Scegli Il Punto Di Partenza	Startpunkt wählen	Punto de inicio de selección	スタートポイントを選んでください	Escolha do ponto de partida	اختيار نقطة البدء	시작 지점을 고르기	Выбирает Место Появления	选择起始点	選擇起始點	Wybór punktu początkowego	Kies Start Locatie	Выбираетъ Мѣсто Явленія
Disconnected	Disconnected	Déconnecté	Disconnesso	Verbindung verloren	Desconectado	切断されました	Desconectado	انقطع الاتصال	연결끊김	Отключен	断开连接	斷開連接	Odłączono	Verbinding Kwijt	Отключенъ
Connected	Connected	Connecté	Connesso	Verbunden	Conectado	接続しました	Conectado	متصل	연결됨	Подключен	已连接	已連接	Połączony	Verbonden	Подключенъ
Not Ready	Not Ready	Pas prêt	Non Pronto	Nicht bereit 	No está listo	準備していません	Não está pronto	غير جاهز	준비 안됨	Не готов	未准备	未準備	Nie gotowy	Niet Klaar	Не готовъ
game over	Game Over	Fin de la partie	Fine Del Gioco	Verloren	Juego terminado	ゲームオーバー	Game Over	انتهت اللعبة	게임 오버	Игра Окончена	游戏结束	遊戲結束	Koniec gry	Spel Over	Игра Окончена
tutorial	tutorial	Tutoriel	tutorial	Tutorial	tutorial	チュートリアル	tutorial	درس تعليمي	튜토리얼	руководство	教程	教程	Samouczek	Tutorial	Руководство
Click somewhere on the grass to choose a spawn point	Click somewhere on the ground to choose a spawn point	Cliquez quelque part sur le sol pour choisir un point d'apparition	Fai click su un punto nell'erba per sceglire il tuo punto di spawn	Klicke irgendwo auf den Boden um einen Startpunkt auszuwählen	Haga clic en algún lugar en el suelo para elegir un punto de desenchera	地面をクリックしてスポーンポイントを選択する	Clique em algum lugar do chão para escolher seu spawn	انقر على مكان ما على الأرض لاختيار نقطة تفرخ	지면 어딘가를 클릭해 스폰 지점을 선택합니다	Нажмите по земле, чтобы появиться	点击草地的任意位置选择出生点	點擊草地的任意位置選擇出生點	Kliknij gdzieś na ziemi, aby wybrać punkt startowy	Klik ergens op het gras om een startlocatie te kiezen	Нажми на землю, дабы явиться
Hold right mouse button to walk towards your cursor	Hold the right mouse button to walk towards your cursor	Maintenez le bouton droit de la souris pour vous déplacer vers le curseur	Tieni premuto il pulsante destro del mouse per camminare verso il cursore	Halte die rechte Maustaste gedrückt um dich in Richtung des Cursors zu bewegen 	Mantenga presionado el botón derecho del mouse para caminar hacia su cursor	マウス右ボタンを長押して、カーソルに向いて移動する	Segure o botão direito do mouse para caminhar em direção ao seu cursor	امسك زر الماوس الأيمن للسير نحو المؤشر	마우스 오른쪽을 꾹 눌러 커서를 향해 이동합니다.	Держите правую кнопку мыши, чтобы идти за курсором	长按鼠标右键走向光标位置	長按鼠標右鍵走向光標位置	Przytrzymaj prawy przycisk myszy, aby iść w kierunku kursora	Hou de rechtermuisknop ingedrukt om naar de cursor te lopen	Держите правую кнопку мыши, дабы идти за указателемъ
Move into the portal to go to the next level	Move into the portal to go to the next level	Entrez dans le portail pour aller au niveau suivant	Entra nel portale per passare al livello successivo	Geh ins Portal um das nächste Level zu betreten 	Muévase al portal para ir al siguiente nivel	ポータルに入って次のレベル階層に転送されます	Vá até o portal para ir ao próximo nível	انتقل إلى البوابة للذهاب إلى المستوى التالي	포탈로 이동해 다음 레벨로 갑니다	Зайдите в портал, чтобы перейти на следующий уровень	进入传送门以进入下一关	進入傳送門以進入下一關	Przejdź przez portal, aby przejść na kolejny poziom	Ga naar het portal om door te gaan naar de volgende level	Войдите въ врата, дабы перейти на следующую ступень
Click on a spell from your toolbar to queue it up and then click on a target to cast it	Click on a spell from the toolbar to queue it up, then click on a target to cast it	Cliquez sur un sort de la barre d'outil pour le planifier, puis cliquez sur une cible pour le lancer	Nella barra degli strumenti, clicca su un incantesimo per metterlo in coda e poi clicca su un bersaglio per lanciarlo	Klicke auf einen Zauber in der Toolbar um ihn einzureihen. Danach kannst du auf ein Ziel in Reichweite klicken um den Zauber zu wirken 	Haga clic en un hechizo de la barra de herramientas para colocarlo, luego haga clic en un objetivo para lanzarlo	ツールバーの呪文をクリックししよう順番を決める、そしてターゲットを選ぶ	Clique em um feitiço da barra de ferramentas para fazer fila e clique em um alvo para lançá -lo	انقر على تعويذة من شريط الأدوات لتسوية الأمر ، ثم انقر فوق هدف لإلقاءه	툴바에서 주문을 클릭해 대기열에 올린 다음 대상을 클릭해 주문을 시전합니다.	Нажмите на заклинание с панели, чтобы добавить его в очередь. Затем нажмите на цель, чтобы применить все заклинания в очереди	单机快捷栏的咒语以决定施放顺序然后选择目标	單機快捷欄的咒語以決定施放順序然後選擇目標	Kliknij zaklęcie z paska narzędzi, aby go ustawiić w kolejce, a następnie kliknij na cel, aby je rzucić	Klik op een spreuk op de werkbalk om het te queuen en klik dan op het doelwit om de spreuk te lanceren.  	Нажмите на заклинание съ доски, дабы добавить его въ очередь. Затѣмъ нажмите на цель, дабы примѣнить всѣ заклинания въ очереди
